nombre_tortuga,estacion,fecha,area_de_monitoreo,posicion_lat_long,hora_de_captura,especie,peso,sexo,l_r_c,l_c_c,a_r_c,a_c_c,p_c,l_p,l_t_c,marca_nombre,marca_izquierda,fecha_inicio,hora_inicio,hora_fin,total_horas,tipo_monitoreo,metodologia,latitud,longitud,unidad_utm_o_grados,hora_captura,material_marcas,marca_previa_izquierda,comentarios,especie_nombre_latino,sexo_correcto,lugar,geografía,numero_recaptura,año,mes,mes_nombre
Lencho,NA,2010-10-11T00:00:00Z,ISPM,N28º37'206 W112º30'058,0.14583333333333301,Chelonia mydas,15,indefinido,1,53.4,40.4,53.2,18.6,1,8,GT 0977,GT 0976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Indefinido,Isla San Pedro Mártir,isla,1,2010,10,oct
Lili,NA,2010-10-12T00:00:00Z,ISPM,N28º37'206 W112º30'058,NA,Chelonia mydas,18,indefinido,1,55.2,40.9,50.9,20.3,1,9.8,GT 0981,GT 0980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Indefinido,Isla San Pedro Mártir,isla,1,2010,10,oct
Alejandra Meza,NA,2010-10-12T00:00:00Z,ISPM,NA,NA,Chelonia mydas,17.5,indefinido,1,55.2,41.5,54.8,20,1,8,GT 0983,GT 0982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Indefinido,Isla San Pedro Mártir,isla,1,2010,10,oct
Ana  Luisa,NA,2010-10-12T00:00:00Z,ISPM,N28º22'301 W112º18'101,NA,Chelonia mydas,27,indefinido,1,62.8,48.4,60,23.4,1,14,GT 0978,GT 0979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Indefinido,Isla San Pedro Mártir,isla,1,2010,10,oct
Naomi,Primavera,2011-03-15T00:00:00Z,ISPM,N2837191 W11230118,NA,Chelonia mydas,19,indefinido,2,62,46.6,59.4,NA,2,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Indefinido,Isla San Pedro Mártir,isla,7,2011,3,mar
Romelia,Primavera,2011-03-16T00:00:00Z,ISPM,N2837191 W11230119,NA,Chelonia mydas,17.6,indefinido,2,57,46,54.5,NA,2,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Indefinido,Isla San Pedro Mártir,isla,7,2011,3,mar
LORAYNE,Primavera,2011-03-16T00:00:00Z,ISPM,n2822157 w11217550,NA,Chelonia mydas,21.6,indefinido,2,61,47.5,58,NA,2,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Indefinido,Isla San Pedro Mártir,isla,7,2011,3,mar
profepa,Verano,2012-10-08T00:00:00Z,choyudo-I Tiburon,NA,NA,Eretmochelys imbricata,4,indefinido,1,39,28,33,12.2,1,NA,GT 1547,GT 1548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eretmochelys imbricata,Indefinido,Isla Tiburon,isla,1,2012,10,oct
prescolina,Otono,2012-05-11T00:00:00Z,Alcaltraz,N23.83427w111.97182,0.51249999999999996,Chelonia mydas,32,indefinido,2,70,53,67,NA,2,3,GT 1545,GT 1546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Indefinido,Laguna La Cruz,estuario,1,2012,5,may
PAPIRINGO,Invierno,2013-10-01T00:00:00Z,Pta. Blanca Laguna la Cruz,N28.78696w111.89976,0.52777777777777801,Chelonia mydas,42.8,hembra,1,69.5,89,51.5,28,1,4,GT 1578,GT 1579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Hembra,Laguna La Cruz,estuario,1,2013,10,oct
Theodoro,Primavera,2013-06-18T00:00:00Z,ISPM,N2837.075W112.29906,0.421527777777778,Chelonia mydas,16.6,indefinido,2,50,38.2,49,21,2,8.3,GT 1527,GT 1526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Indefinido,Isla San Pedro Mártir,isla,1,2013,6,jun
Carito,Primavera,2013-06-18T00:00:00Z,ISPM,N2837.075W112.29906,0.46527777777777801,Chelonia mydas,33.8,macho,2,64,47.6,61.1,26.1,2,16.5,GT 1529,GT 1528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Macho,Isla San Pedro Mártir,isla,1,2013,6,jun
Brittany,Primavera,2013-06-18T00:00:00Z,ISPM,N2837075W11229906,0.097222222222222002,Chelonia mydas,41.8,macho,2,60,52.6,68.3,27.6,2,18,GT 1530,GT 1531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Macho,Isla San Pedro Mártir,isla,1,2013,6,jun
Marlu,Primavera,2013-06-18T00:00:00Z,ISPM,N2837075W11229906,0.97916666666666696,Chelonia mydas,18.2,indefinido,2,55,42.8,54.2,22.7,2,8,GT 1532,GT 1533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Indefinido,Isla San Pedro Mártir,isla,1,2013,6,jun
Eminiel,Primavera,2013-06-18T00:00:00Z,ISPM,N28.37.06W112.29903,0.22916666666666699,Chelonia mydas,49,macho,2,74,54.8,72.2,30,2,13,GT 1535,GT 1534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Macho,Isla San Pedro Mártir,isla,1,2013,6,jun
Monica,Primavera,2013-06-18T00:00:00Z,ISPM,N2837112W11230000,0.23611111111111099,Chelonia mydas,33.6,macho,2,66.4,48.4,62,45.5,2,14,GT 1536,GT 1537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Macho,Isla San Pedro Mártir,isla,1,2013,6,jun
Rocio del Mar,Verano,2013-06-27T00:00:00Z,ISPM,N23.37766W112.29932,0.64930555555555602,Eretmochelys imbricata,7.8,indefinido,3,43.5,32,36.5,15,3,5,GT 1539,GT 1538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eretmochelys imbricata,Indefinido,Isla San Pedro Mártir,isla,1,2013,6,jun
La Dificil,Otono,2013-09-26T00:00:00Z,Laguna la Cruz,N28.88713W111.89745,0.36111111111111099,Chelonia mydas,35.8,indefinido,4,71.5,54.5,70,22.5,4,10,GT 1540,GT 1541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Indefinido,Laguna La Cruz,estuario,1,2013,9,sep
Marcon(1),Otono,2013-09-26T00:00:00Z,Laguna la Cruz,N28.78813W111.89745,0.40972222222222199,Chelonia mydas,38.8,hembra,4,68,51.5,68.5,25,4,12,GT 1542,GT 1543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Hembra,Laguna La Cruz,estuario,1,2013,9,sep
Cerene,Otono,2013-09-26T00:00:00Z,Laguna la Cruz,N28.78367W1118261,0.47916666666666702,Chelonia mydas,23.8,indefinido,4,61.5,48,63,20,4,11.5,GT 1544,GT 1545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Indefinido,Laguna La Cruz,estuario,1,2013,9,sep
Jesus,Otono,2013-10-21T00:00:00Z,Pasadita I. Choyudo,N28.16131W112.27535,0.63888888888888895,Lepidochelys olivacea,30,macho,5,65.5,57,70.5,24.2,5,29.5,GT 1550,GT 1551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lepidochelys olivacea,Macho,Isla Tiburon,isla,1,2013,10,oct
Lechuga,Invierno,2014-03-19T00:00:00Z,Sargento-Desemboque,N2931112W11232820,4:30pm,Chelonia mydas,28.2,hembra,2,26,49,25.5,48,2,11.5,GT 1580,GT 1581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Hembra,Sargento,estuario,1,2014,3,mar
Paulina,Invierno,2014-03-19T00:00:00Z,Sargento-Desemboque,N2918634W11219672,0.76041666666666663,Chelonia mydas,33.8,indefinido,2,65,50,65,25.5,2,10,GT 1583,GT 1582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Indefinido,Sargento,estuario,1,2014,3,mar
Evan,Primavera,2014-04-22T00:00:00Z,Los Morritos ISPM,N2837125W11229887,0.018055555555555557,Chelonia mydas,20.8,hembra,3,57.5,45,57.5,22.5,3,11,GT 1590,GT 1591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Hembra,Isla San Pedro Mártir,isla,1,2014,4,apr
Cathy,Primavera,2014-04-22T00:00:00Z,Los Morritos ISPM,N2837125W11229887,0.50902777777777775,Chelonia mydas,17.8,indefinido,3,50,41,51,19.5,3,8.5,GT 1586,GT 1587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Indefinido,Isla San Pedro Mártir,isla,1,2014,4,apr
Kelly,Primavera,2014-04-22T00:00:00Z,Los Morritos ISPM,N2837125W11229887,0.5180555555555556,Chelonia mydas,16.8,indefinido,3,51,38.5,48,20.5,3,8,GT 1588,GT 1589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Indefinido,Isla San Pedro Mártir,isla,1,2014,4,apr
Maria,Primavera,2014-04-22T00:00:00Z,Los Morritos ISPM,N2837125W11229887,0.52083333333333337,Chelonia mydas,11.5,indefinido,3,47,38,47.5,19,3,7,GT 1584,GT 1585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Indefinido,Isla San Pedro Mártir,isla,1,2014,4,apr
Eilijah,Primavera,2014-04-22T00:00:00Z,Los Morritos ISPM,N2837125W11229887,0.5625,Chelonia mydas,22,indefinido,3,55.5,43,56,21,3,11,GT 1592,GT 1593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Indefinido,Isla San Pedro Mártir,isla,1,2014,4,apr
Mama Irene,Primavera,2014-06-05T00:00:00Z,Pta. Blanca Laguna la Cruz,N2878878W11189668,0.46180555555555558,Chelonia mydas,33.8,hembra,4,70,52.5,68.1,25.8,4,15.4,GT 1595,GT 1594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Hembra,Laguna La Cruz,estuario,1,2014,6,jun
Goyo,Primavera,2014-06-05T00:00:00Z,Pta. Blanca Laguna la Cruz,N287870W11189662,0.53472222222222221,Chelonia mydas,54.8,macho,4,77.6,55,77,30,4,20,GT 1596,GT 1597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Macho,Laguna La Cruz,estuario,1,2014,6,jun
Aby,Primavera,2014-05-21T00:00:00Z,Sargento-Desemboque,N2930878W11232091,0.42708333333333331,Chelonia mydas,23.4,hembra,4,60,45.7,58,22,4,3.4,GT 1598,GT 1599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Hembra,Sargento,estuario,1,2014,5,may
Julio,Primavera,2014-12-06T00:00:00Z,Sur de San Lorenzo,N28.49757W112.73699,8:40am,Lepidochelys olivacea,35,macho,5,67,55.9,71,39.5,5,32.5,GT 1552,GT 1553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lepidochelys olivacea,Macho,Laguna La Cruz,estuario,1,2014,12,dec
Iguanero,Verano,2014-07-14T00:00:00Z,entre S. Esteban y Tiburon,N28.71245W112.457960,0.59861111111111109,Lepidochelys olivacea,32.8,macho,6,65.5,57.5,71.5,23,6,31,GT 1555,GT 1554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lepidochelys olivacea,Macho,Isla Tiburon,isla,1,2014,7,jul
Toña,Verano,2014-07-15T00:00:00Z,region delas grandes Islas del G.C.,N28.83673W112.64378,13:16 PM,Lepidochelys olivacea,22.6,hembra,7,60.5,54.3,68,21,7,10,GT 1556,GT 1557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lepidochelys olivacea,Hembra,NA,NA,1,2014,7,jul
Kono Jr-3,Otono,2014-10-14T00:00:00Z,Pta. Blanca Laguna la Cruz,N28.78856W11189713,0.29999999999999999,Chelonia mydas,57.8,macho,8,77,55.5,77.2,31,8,32,GT 1559,GT 1558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Macho,Laguna La Cruz,estuario,1,2014,10,oct
Piston,Otono,2014-10-14T00:00:00Z,Pta. Blanca Laguna la Cruz,N28.78856W11189713,0.46527777777777773,Chelonia mydas,60,hembra,8,80,67.5,76,27.5,8,14,GT 1561,GT 1560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Hembra,Laguna La Cruz,estuario,1,2014,10,oct
Jaudel,Otono,2014-11-29T00:00:00Z,Pta. Blanca Laguna la Cruz,N2878736W111.89741,0.3611111111111111,Chelonia mydas,33,macho,9,68,50.1,63,23.4,9,14,GT 1566,GT 1567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Macho,Laguna La Cruz,estuario,1,2014,11,nov
Ashly,Otono,2014-11-29T00:00:00Z,Boca del Estero,N28.78901W11191192,10:24AM,Chelonia mydas,37.4,hembra,9,71.5,55.1,68.5,25.2,9,11.5,GT 1565,GT 1564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Hembra,Laguna La Cruz,estuario,1,2014,11,nov
Pepe(1),Otono,2014-11-29T00:00:00Z,Pta. Blanca Laguna la Cruz,N28.78936W11189741,0.71527777777777779,Chelonia mydas,28.6,indefinido,9,62,49,62.6,23.1,9,14,GT 1568,GT 1569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Indefinido,Laguna La Cruz,estuario,1,2014,11,nov
Julian,Otono,2014-11-29T00:00:00Z,Pta. Blanca Laguna la Cruz,N28.78917W11189726,0.6020833333333333,Chelonia mydas,14,indefinido,9,52,38.6,47,18.6,9,8,GT 1569,GT 1568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Indefinido,Laguna La Cruz,estuario,3,2014,11,nov
Liz,Otono,2014-12-13T00:00:00Z,"""Y"" Laguna la Cruz",N2878256W11188557,0.44097222222222227,Chelonia mydas,34,hembra,10,54,71.5,66,25,10,6.5,GT 1570,GT 1571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Hembra,Laguna La Cruz,estuario,1,2014,12,dec
Ma. Josse(1),Otono,2014-12-13T00:00:00Z,"""Y"" Laguna la Cruz",N28.78256W11188557,0.4465277777777778,Chelonia mydas,36.6,indefinido,10,71.5,53.8,68.5,22.6,10,13.5,GT 1573,GT 1572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Indefinido,Laguna La Cruz,estuario,2,2014,12,dec
Emiliee,Invierno,2015-11-02T00:00:00Z,"""Y"" Laguna la Cruz",N28.78253W111.88381,0.53472222222222221,Chelonia mydas,52,hembra,2,79.5,56,72,27,2,15.5,GT 1575,GT 1574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Hembra,Laguna La Cruz,estuario,1,2015,11,nov
Barbara,Invierno,2015-11-02T00:00:00Z,"""Y"" Laguna la Cruz",N28.78253W111.88381,0.54305555555555551,Chelonia mydas,27.41,hembra,2,61,48,61,22.5,2,14.5,GT 3841,GT 3840,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Hembra,Laguna La Cruz,estuario,1,2015,11,nov
Jan(1),Invierno,2015-11-02T00:00:00Z,"""Y"" Laguna la Cruz",N28.78253W111.88381,0.55555555555555558,Chelonia mydas,51.2,hembra,2,77,57,78,27,2,14,GT 3843,GT 3842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Hembra,Laguna La Cruz,estuario,3,2015,11,nov
Leah(1),Invierno,2015-11-02T00:00:00Z,"""Y"" Laguna la Cruz",N28.78377W111.88264,0.64236111111111105,Chelonia mydas,21.2,indefinido,2,56.5,41,57,22,2,7,GT 3845,GT 3844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Indefinido,Laguna La Cruz,estuario,3,2015,11,nov
Olivia,Invierno,2015-02-26T00:00:00Z,"""Y"" Laguna la Cruz",N28.78314W111.88492,0.58194444444444449,Chelonia mydas,34.8,hembra,3,70.2,51.5,66.8,24.4,3,11,GT 3849,GT 3848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Hembra,Laguna La Cruz,estuario,1,2015,2,feb
Tara(1),Invierno,2015-02-26T00:00:00Z,"""Y"" Laguna la Cruz",N28.78314W111.88492,0.58194444444444449,Chelonia mydas,26.6,hembra,3,65,46,62,22.5,3,12,GT 3847,GT 3846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Hembra,Laguna La Cruz,estuario,1,2015,2,feb
Jasmin,Invierno,2015-02-26T00:00:00Z,"""Y"" Laguna la Cruz",N28.78305W111.88375,0.65763888888888888,Chelonia mydas,42,hembra,3,71.5,53.4,71.5,25.4,3,15.5,GT 5201,GT 5202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Hembra,Laguna La Cruz,estuario,1,2015,2,feb
Cinda,Invierno,2015-03-13T00:00:00Z,"""Y"" Laguna la Cruz",N28.78391W11188410,0.46527777777777773,Chelonia mydas,42.6,hembra,4,74.5,55.4,69,26.2,4,12.5,GT 5203,GT 5204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Hembra,Laguna La Cruz,estuario,2,2015,3,mar
Maribel,Invierno,2015-03-13T00:00:00Z,"""Y"" Laguna la Cruz",N28.78390w11188406,12:24pm,Chelonia mydas,32,hembra,4,67.5,50.4,66,24.7,4,10,GT 5205,GT 5206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Hembra,Laguna La Cruz,estuario,1,2015,3,mar
Jean(1),Invierno,2015-03-13T00:00:00Z,"""Y"" Laguna la Cruz",N28.78390w11188406,0.52152777777777781,Chelonia mydas,40.2,hembra,4,68,52.8,66.2,25.3,4,12,GT 5208,GT 5207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Hembra,Laguna La Cruz,estuario,2,2015,3,mar
Jan(2),Invierno,2015-03-13T00:00:00Z,"""Y"" Laguna la Cruz",N28.78390w11188406,0.59722222222222221,Chelonia mydas,51.6,hembra,4,77,58.7,79,27.7,4,14,GT 3843,GT 3842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Hembra,Laguna La Cruz,estuario,3,2015,3,mar
Cosme(1),Invierno,2015-03-13T00:00:00Z,"""Y"" Laguna la Cruz",N28.78390w11188406,0.60416666666666663,Chelonia mydas,65.2,macho,4,83.5,59.9,80.7,31.2,4,25.5,GT 5210,GT 5209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Macho,Laguna La Cruz,estuario,2,2015,3,mar
Salsa-Kyger,Primavera,2015-03-27T00:00:00Z,Pta. Blanca Laguna la Cruz,N28.78856W111.89763,0.3888888888888889,Chelonia mydas,38.6,hembra,5,74,53,70.5,23,5,13.5,GT 5212,GT 5211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Hembra,Laguna La Cruz,estuario,1,2015,3,mar
Ami(2),Primavera,2015-03-27T00:00:00Z,"""Y"" Laguna la Cruz",N2878319W11188469,0.49722222222222223,Chelonia mydas,31.6,hembra,5,66.3,47.8,62.8,23.1,5,12.7,GT 5216,GT 5215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Hembra,Laguna La Cruz,estuario,2,2015,3,mar
Astrea,Primavera,2015-03-27T00:00:00Z,Pta. Blanca Laguna la Cruz,N28.78922W11189860,0.55138888888888882,Chelonia mydas,24,hembra,5,60.2,45.9,57.3,21.2,5,11.8,GT 5218,GT 5217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Hembra,Laguna La Cruz,estuario,1,2015,3,mar
Savirtle,Primavera,2015-03-27T00:00:00Z,Pta. Blanca Laguna la Cruz,N28.78960W11189836,0.56944444444444442,Chelonia mydas,30.4,hembra,5,68,49.7,64,22.7,5,12.5,GT 5214,GT 5213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Hembra,Laguna La Cruz,estuario,1,2015,3,mar
La Grandota,Primavera,2015-03-27T00:00:00Z,Pta. Blanca Laguna la Cruz,N28.78960W11189836,0.65972222222222221,Chelonia mydas,66.2,hembra,5,85.5,64.5,82.4,30,5,18.2,GT 5220,GT 5219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Hembra,Laguna La Cruz,estuario,1,2015,3,mar
Marcador,Primavera,2015-04-26T00:00:00Z,"""Y"" Laguna la Cruz",N2878393W11188377,0.47222222222222227,Chelonia mydas,33,macho,6,66.5,50.9,65.3,23.3,6,13.5,GT 5227,GT 5226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Macho,Laguna La Cruz,estuario,1,2015,4,apr
Chiquis,Primavera,2015-04-26T00:00:00Z,"""Y"" Laguna la Cruz",N2878393W11188377,0.47916666666666669,Chelonia mydas,34.8,hembra,6,72.5,53.4,68.5,22.9,6,13,GT 5229,GT 5228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Hembra,Laguna La Cruz,estuario,1,2015,4,apr
Elsa,Primavera,2015-04-26T00:00:00Z,"""Y"" Laguna la Cruz",N28.78394W11188358,0.56944444444444442,Chelonia mydas,55.6,hembra,6,79.7,59,77,31.2,6,16.5,GT 5231,GT 5230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Hembra,Laguna La Cruz,estuario,1,2015,4,apr
Marcon(2),Primavera,2015-11-05T00:00:00Z,"""Y"" Laguna la Cruz",N2878285W11188419,12:45PM,Chelonia mydas,44.4,hembra,7,71,53,71,26.2,7,14,GT 1600,GT 1543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Hembra,Laguna La Cruz,estuario,1,2015,11,nov
Maloro,Primavera,2015-11-05T00:00:00Z,"""Y"" Laguna la Cruz",N2878285W11188419,0.56944444444444442,Chelonia mydas,47.6,macho,7,75,55.8,71.2,27.4,7,15.4,GT 5221,GT 5222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Macho,Laguna La Cruz,estuario,1,2015,11,nov
Claudia,Primavera,2015-11-05T00:00:00Z,"""Y"" Laguna la Cruz",N28.78387W11188332,0.61041666666666672,Chelonia mydas,28.2,indefinido,7,63.7,47,61,22,7,10.2,GT 5224,GT 5223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Indefinido,Laguna La Cruz,estuario,2,2015,11,nov
Beyra(1),Primavera,2015-05-24T00:00:00Z,"""Y"" Laguna la Cruz",N28.78386W11188330,0.39583333333333331,Chelonia mydas,36,hembra,8,68,53,67.5,25.3,8,14.5,GT 5233,GT 5232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Hembra,Laguna La Cruz,estuario,2,2015,5,may
Lupilla,Primavera,2015-05-24T00:00:00Z,"""Y"" Laguna la Cruz",N28.78386W11188330,0.43055555555555558,Chelonia mydas,96.4,hembra,8,96,66,84,34.2,8,24,GT 5235,GT 5234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Hembra,Laguna La Cruz,estuario,1,2015,5,may
Damar,Primavera,2015-05-24T00:00:00Z,"""Y"" Laguna la Cruz",N28.78386W11188330,0.4861111111111111,Chelonia mydas,47.2,hembra,8,68,52.2,70.2,29.5,8,15,GT 5237,GT 5236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Hembra,Laguna La Cruz,estuario,1,2015,5,may
Mizuky,Primavera,2015-05-24T00:00:00Z,"""Y"" Laguna la Cruz",N28.78386W11188330,0.5,Chelonia mydas,56,hembra,8,78.5,56,78,28.5,8,17,GT 5239,GT 5238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Hembra,Laguna La Cruz,estuario,1,2015,5,may
Jan(3),Verano,2015-06-24T00:00:00Z,Pta. Blanca Laguna la Cruz,N28.7887W111.89701,0.39166666666666666,Chelonia mydas,54.8,hembra,9,76,53.5,79,27,9,13,GT 3843,GT 3842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Hembra,Laguna La Cruz,estuario,3,2015,6,jun
Juanito Lambada,Verano,2015-06-24T00:00:00Z,Pta. Blanca Laguna la Cruz,N28.7887W111.89701,0.4236111111111111,Chelonia mydas,34.4,indefinido,9,69,52.3,68.3,24.5,9,11,GT 5241,GT 5240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Indefinido,Laguna La Cruz,estuario,1,2015,6,jun
Beyra(2),Verano,2015-06-24T00:00:00Z,"""Y"" Laguna la Cruz",N28.78351W11188315,0.48958333333333331,Chelonia mydas,37.2,hembra,9,68.7,52.6,68,26.3,9,14.5,GT 5233,GT 5232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Hembra,Laguna La Cruz,estuario,2,2015,6,jun
Nidia(1),Verano,2015-06-24T00:00:00Z,"""Y"" Laguna la Cruz",N28.78351W11188315,0.55277777777777781,Chelonia mydas,43.6,hembra,9,73,54,70.8,27.8,9,13,GT 5225,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Hembra,Laguna La Cruz,estuario,1,2015,6,jun
Cristy,Verano,2015-06-24T00:00:00Z,"""Y"" Laguna la Cruz",N28.78383W111.88263,0.58750000000000002,Chelonia mydas,34.4,hembra,9,71,49.5,67.5,25.7,9,13.5,GT 5242,GT 5243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Hembra,Laguna La Cruz,estuario,1,2015,6,jun
Contexto Radio,Verano,2015-06-24T00:00:00Z,"""Y"" Laguna la Cruz",N28.78383W111.88263,0.59027777777777779,Chelonia mydas,48.8,hembra,9,76.3,54,73.5,30,9,14,GT 5244,GT 5245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Hembra,Laguna La Cruz,estuario,1,2015,6,jun
