fecha,nombre_tortuga,marca_nombre,especie_nombre_latino,numero_recaptura,a_c_c,l_c_c,lugar,geografía,sexo_correcto
2015-03-13T00:00:00Z,Cinda,GT 5203,Chelonia mydas,2,69,74.5,Laguna La Cruz,estuario,Hembra
2015-03-13T00:00:00Z,Maribel,GT 5205,Chelonia mydas,1,66,67.5,Laguna La Cruz,estuario,Hembra
2015-03-13T00:00:00Z,Jean(1),GT 5208,Chelonia mydas,2,66.2,68,Laguna La Cruz,estuario,Hembra
2015-03-13T00:00:00Z,Jan(2),GT 3843,Chelonia mydas,3,79,77,Laguna La Cruz,estuario,Hembra
2015-03-13T00:00:00Z,Cosme(1),GT 5210,Chelonia mydas,2,80.7,83.5,Laguna La Cruz,estuario,Macho
2015-03-27T00:00:00Z,Salsa-Kyger,GT 5212,Chelonia mydas,1,70.5,74,Laguna La Cruz,estuario,Hembra
2015-03-27T00:00:00Z,Ami(2),GT 5216,Chelonia mydas,2,62.8,66.3,Laguna La Cruz,estuario,Hembra
2015-03-27T00:00:00Z,Astrea,GT 5218,Chelonia mydas,1,57.3,60.2,Laguna La Cruz,estuario,Hembra
2015-03-27T00:00:00Z,Savirtle,GT 5214,Chelonia mydas,1,64,68,Laguna La Cruz,estuario,Hembra
2015-03-27T00:00:00Z,La Grandota,GT 5220,Chelonia mydas,1,82.4,85.5,Laguna La Cruz,estuario,Hembra
2015-04-26T00:00:00Z,Marcador,GT 5227,Chelonia mydas,1,65.3,66.5,Laguna La Cruz,estuario,Macho
2015-04-26T00:00:00Z,Chiquis,GT 5229,Chelonia mydas,1,68.5,72.5,Laguna La Cruz,estuario,Hembra
2015-04-26T00:00:00Z,Elsa,GT 5231,Chelonia mydas,1,77,79.7,Laguna La Cruz,estuario,Hembra
2015-11-05T00:00:00Z,Marcon(2),GT 1600,Chelonia mydas,1,71,71,Laguna La Cruz,estuario,Hembra
2015-11-05T00:00:00Z,Maloro,GT 5221,Chelonia mydas,1,71.2,75,Laguna La Cruz,estuario,Macho
2015-11-05T00:00:00Z,Claudia,GT 5224,Chelonia mydas,2,61,63.7,Laguna La Cruz,estuario,Indefinido
2015-05-24T00:00:00Z,Beyra(1),GT 5233,Chelonia mydas,2,67.5,68,Laguna La Cruz,estuario,Hembra
2015-05-24T00:00:00Z,Lupilla,GT 5235,Chelonia mydas,1,84,96,Laguna La Cruz,estuario,Hembra
2015-05-24T00:00:00Z,Damar,GT 5237,Chelonia mydas,1,70.2,68,Laguna La Cruz,estuario,Hembra
2015-05-24T00:00:00Z,Mizuky,GT 5239,Chelonia mydas,1,78,78.5,Laguna La Cruz,estuario,Hembra
2015-06-24T00:00:00Z,Jan(3),GT 3843,Chelonia mydas,3,79,76,Laguna La Cruz,estuario,Hembra
2015-06-24T00:00:00Z,Juanito Lambada,GT 5241,Chelonia mydas,1,68.3,69,Laguna La Cruz,estuario,Indefinido
2015-06-24T00:00:00Z,Beyra(2),GT 5233,Chelonia mydas,2,68,68.7,Laguna La Cruz,estuario,Hembra
2015-06-24T00:00:00Z,Nidia(1),GT 5225,Chelonia mydas,1,70.8,73,Laguna La Cruz,estuario,Hembra
2015-06-24T00:00:00Z,Cristy,GT 5242,Chelonia mydas,1,67.5,71,Laguna La Cruz,estuario,Hembra
2015-06-24T00:00:00Z,Contexto Radio,GT 5244,Chelonia mydas,1,73.5,76.3,Laguna La Cruz,estuario,Hembra
2015-06-25T00:00:00Z,Irene(1),GT 5247,Chelonia mydas,1,66.5,68.5,Laguna La Cruz,estuario,Hembra
